"nama_evaluator";"ID";"verdict";"error_type"
"D";"11:5";"NOT_SUPPORTED";"AMBIGUOUS_GROUNDING"
"E";"11:5";"SUPPORTED";NULL
"D";"17:25";"NOT_SUPPORTED";"OVERGENERALIZATION"
"E";"17:25";"SUPPORTED";NULL
"D";"31:16";"SUPPORTED";NULL
"E";"31:16";"SUPPORTED";NULL
"D";"67:14";"SUPPORTED";NULL
"E";"67:14";"SUPPORTED";NULL
"D";"3:29";"NOT_SUPPORTED";"AMBIGUOUS_GROUNDING"
"E";"3:29";"SUPPORTED";NULL
"D";"3:26";"SUPPORTED";NULL
"E";"3:26";"SUPPORTED";NULL
"D";"11:66";"SUPPORTED";NULL
"E";"11:66";"SUPPORTED";NULL
"D";"11:4";"SUPPORTED";NULL
"E";"11:4";"SUPPORTED";NULL
"D";"33:27";"SUPPORTED";NULL
"E";"33:27";"SUPPORTED";NULL
"D";"65:12";"SUPPORTED";NULL
"E";"65:12";"SUPPORTED";NULL
"D";"30:27";"NOT_SUPPORTED";"PRONOUN_DISAMBIGUATION_FAILURE"
"E";"30:27";"NOT_SUPPORTED";"PRONOUN_DISAMBIGUATION_FAILURE"
"D";"39:1";"SUPPORTED";NULL
"E";"39:1";"NOT_SUPPORTED";"THEME_INDUCED_SHIFT"
"D";"11:107";"NOT_SUPPORTED";"PRONOUN_DISAMBIGUATION_FAILURE"
"E";"11:107";"SUPPORTED";NULL
"D";"2:173";"SUPPORTED";NULL
"E";"2:173";"SUPPORTED";NULL
"D";"2:182";"SUPPORTED";NULL
"E";"2:182";"SUPPORTED";NULL
"D";"3:89";"SUPPORTED";NULL
"E";"3:89";"SUPPORTED";NULL
"D";"2:218";"SUPPORTED";NULL
"E";"2:218";"SUPPORTED";NULL
"D";"5:3";"NOT_SUPPORTED";"INSUFFICIENT_EVIDENCE"
"E";"5:3";"NOT_SUPPORTED";"OVERGENERALIZATION"
"D";"3:31";"NOT_SUPPORTED";"AMBIGUOUS_GROUNDING"
"E";"3:31";"SUPPORTED";NULL
"D";"8:70";"SUPPORTED";NULL
"E";"8:70";"SUPPORTED";NULL
"D";"24:22";"SUPPORTED";NULL
"E";"24:22";"SUPPORTED";NULL
"D";"27:11";"SUPPORTED";NULL
"E";"27:11";"SUPPORTED";NULL
"D";"57:28";"SUPPORTED";NULL
"E";"57:28";"SUPPORTED";NULL
"D";"2:85";"SUPPORTED";NULL
"E";"2:85";"SUPPORTED";NULL
"D";"4:135";"SUPPORTED";NULL
"E";"4:135";"SUPPORTED";NULL
"D";"41:40";"NOT_SUPPORTED";"AMBIGUOUS_GROUNDING"
"E";"41:40";"SUPPORTED";NULL
"D";"60:3";"SUPPORTED";NULL
"E";"60:3";"SUPPORTED";NULL
"D";"4:26";"SUPPORTED";NULL
"E";"4:26";"SUPPORTED";NULL
"D";"60:10";"NOT_SUPPORTED";"OVERGENERALIZATION"
"E";"60:10";"SUPPORTED";NULL
"D";"3:152";"SUPPORTED";NULL
"E";"3:152";"SUPPORTED";NULL
"D";"10:109";"SUPPORTED";NULL
"E";"10:109";"SUPPORTED";NULL
"D";"25:60";"SUPPORTED";NULL
"E";"25:60";"SUPPORTED";NULL
"D";"21:42";"NOT_SUPPORTED";"INSUFFICIENT_EVIDENCE"
"E";"21:42";"NOT_SUPPORTED";"AMBIGUOUS_GROUNDING"
"D";"36:52";"SUPPORTED";NULL
"E";"36:52";"SUPPORTED";NULL
"D";"67:3";"SUPPORTED";NULL
"E";"67:3";"SUPPORTED";NULL
"D";"67:20";"SUPPORTED";NULL
"E";"67:20";"SUPPORTED";NULL
"D";"10:107";"SUPPORTED";NULL
"E";"10:107";"SUPPORTED";NULL
"D";"38:9";"NOT_SUPPORTED";"INSUFFICIENT_EVIDENCE"
"E";"38:9";"SUPPORTED";NULL
"D";"6:62";"SUPPORTED";NULL
"E";"6:62";"SUPPORTED";NULL
"D";"82:6";"SUPPORTED";NULL
"E";"82:6";"NOT_SUPPORTED";"THEME_INDUCED_SHIFT"
"D";"25:58";"SUPPORTED";NULL
"E";"25:58";"SUPPORTED";NULL
"D";"100:4";"NOT_SUPPORTED";"INSUFFICIENT_EVIDENCE"
"E";"100:4";"NOT_SUPPORTED";"AMBIGUOUS_GROUNDING"
"D";"52:1";"NOT_SUPPORTED";"INSUFFICIENT_EVIDENCE"
"E";"52:1";"NOT_SUPPORTED";"AMBIGUOUS_GROUNDING"
"D";"51:2";"NOT_SUPPORTED";"INSUFFICIENT_EVIDENCE"
"E";"51:2";"SUPPORTED";NULL
"D";"50:2";"SUPPORTED";NULL
"E";"50:2";"SUPPORTED";NULL
"D";"6:134";"NOT_SUPPORTED";"INSUFFICIENT_EVIDENCE"
"E";"6:134";"SUPPORTED";NULL
"D";"3:76";"SUPPORTED";NULL
"E";"3:76";"SUPPORTED";NULL
"D";"8:58";"SUPPORTED";NULL
"E";"8:58";"SUPPORTED";NULL
"D";"17:66";"SUPPORTED";NULL
"E";"17:66";"SUPPORTED";NULL
"D";"23:22";"SUPPORTED";NULL
"E";"23:22";"NOT_SUPPORTED";"AMBIGUOUS_GROUNDING"
"D";"40:80";"SUPPORTED";NULL
"E";"40:80";"SUPPORTED";NULL
"D";"71:20";"SUPPORTED";NULL
"E";"71:20";"NOT_SUPPORTED";"AMBIGUOUS_GROUNDING"
"D";"2:214";"SUPPORTED";NULL
"E";"2:214";"SUPPORTED";NULL
"D";"9:26";"SUPPORTED";NULL
"E";"9:26";"SUPPORTED";NULL
"D";"11:94";"SUPPORTED";NULL
"E";"11:94";"SUPPORTED";NULL
"D";"12:54";"SUPPORTED";NULL
"E";"12:54";"SUPPORTED";NULL
"D";"12:33";"SUPPORTED";NULL
"E";"12:33";"NOT_SUPPORTED";"THEME_INDUCED_SHIFT"
"D";"14:27";"SUPPORTED";NULL
"E";"14:27";"SUPPORTED";NULL
"D";"21:68";"SUPPORTED";NULL
"E";"21:68";"SUPPORTED";NULL
"D";"27:57";"SUPPORTED";NULL
"E";"27:57";"SUPPORTED";NULL
"D";"30:3";"NOT_SUPPORTED";"INSUFFICIENT_EVIDENCE"
"E";"30:3";"SUPPORTED";NULL
"D";"6:131";"NOT_SUPPORTED";"INSUFFICIENT_EVIDENCE"
"E";"6:131";"SUPPORTED";NULL
"D";"7:84";"NOT_SUPPORTED";"THEME_INDUCED_SHIFT"
"E";"7:84";"SUPPORTED";NULL
"D";"7:83";"SUPPORTED";NULL
"E";"7:83";"SUPPORTED";NULL
"D";"7:166";"NOT_SUPPORTED";"AMBIGUOUS_GROUNDING"
"E";"7:166";"SUPPORTED";NULL
"D";"10:92";"SUPPORTED";NULL
"E";"10:92";"SUPPORTED";NULL
"D";"28:58";"SUPPORTED";NULL
"E";"28:58";"SUPPORTED";NULL
"D";"28:40";"SUPPORTED";NULL
"E";"28:40";"SUPPORTED";NULL
"D";"69:8";"NOT_SUPPORTED";"INSUFFICIENT_EVIDENCE"
"E";"69:8";"NOT_SUPPORTED";"INSUFFICIENT_EVIDENCE"
"D";"10:67";"SUPPORTED";NULL
"E";"10:67";"SUPPORTED";NULL
"D";"3:179";"SUPPORTED";NULL
"E";"3:179";"SUPPORTED";NULL
"D";"3:86";"SUPPORTED";NULL
"E";"3:86";"SUPPORTED";NULL
"D";"11:18";"SUPPORTED";NULL
"E";"11:18";"SUPPORTED";NULL
"D";"16:106";"SUPPORTED";NULL
"E";"16:106";"SUPPORTED";NULL
"D";"21:101";"SUPPORTED";NULL
"E";"21:101";"NOT_SUPPORTED";"THEME_INDUCED_SHIFT"
"D";"50:18";"SUPPORTED";NULL
"E";"50:18";"SUPPORTED";NULL
"D";"33:43";"SUPPORTED";NULL
"E";"33:43";"SUPPORTED";NULL
"D";"15:51";"NOT_SUPPORTED";"AMBIGUOUS_GROUNDING"
"E";"15:51";"SUPPORTED";NULL
"D";"51:31";"NOT_SUPPORTED";"AMBIGUOUS_GROUNDING"
"E";"51:31";"SUPPORTED";NULL
"D";"11:12";"SUPPORTED";NULL
"E";"11:12";"SUPPORTED";NULL
"D";"3:80";"SUPPORTED";NULL
"E";"3:80";"SUPPORTED";NULL
"D";"34:40";"NOT_SUPPORTED";"INSUFFICIENT_EVIDENCE"
"E";"34:40";"SUPPORTED";NULL
"D";"34:41";"SUPPORTED";NULL
"E";"34:41";"SUPPORTED";NULL
"D";"6:93";"SUPPORTED";NULL
"E";"6:93";"SUPPORTED";NULL
"D";"2:2";"SUPPORTED";NULL
"E";"2:2";"SUPPORTED";NULL
"D";"3:78";"SUPPORTED";NULL
"E";"3:78";"NOT_SUPPORTED";"THEME_INDUCED_SHIFT"
"D";"3:84";"SUPPORTED";NULL
"E";"3:84";"SUPPORTED";NULL
"D";"4:105";"SUPPORTED";NULL
"E";"4:105";"SUPPORTED";NULL
"D";"5:46";"SUPPORTED";NULL
"E";"5:46";"SUPPORTED";NULL
"D";"6:92";"SUPPORTED";NULL
"E";"6:92";"SUPPORTED";NULL
"D";"7:2";"SUPPORTED";NULL
"E";"7:2";"SUPPORTED";NULL
"D";"15:9";"SUPPORTED";NULL
"E";"15:9";"SUPPORTED";NULL
"D";"16:64";"SUPPORTED";NULL
"E";"16:64";"SUPPORTED";NULL
"D";"23:49";"SUPPORTED";NULL
"E";"23:49";"SUPPORTED";NULL
"D";"21:50";"SUPPORTED";NULL
"E";"21:50";"SUPPORTED";NULL
"D";"25:35";"SUPPORTED";NULL
"E";"25:35";"SUPPORTED";NULL
"D";"35:31";"SUPPORTED";NULL
"E";"35:31";"SUPPORTED";NULL
"D";"42:17";"SUPPORTED";NULL
"E";"42:17";"SUPPORTED";NULL
"D";"43:4";"SUPPORTED";NULL
"E";"43:4";"SUPPORTED";NULL
"D";"66:12";"SUPPORTED";NULL
"E";"66:12";"NOT_SUPPORTED";"THEME_INDUCED_SHIFT"
"D";"5:43";"SUPPORTED";NULL
"E";"5:43";"SUPPORTED";NULL
"D";"4:61";"SUPPORTED";NULL
"E";"4:61";"SUPPORTED";NULL
"E";"24:1";"NOT_SUPPORTED";"AMBIGUOUS_GROUNDING"
"D";"24:1";"SUPPORTED";NULL
"E";"25:6";"SUPPORTED";NULL
"D";"25:6";"SUPPORTED";NULL
"D";"39:55";"SUPPORTED";NULL
"E";"39:55";"SUPPORTED";NULL
"D";"43:3";"SUPPORTED";NULL
"E";"43:3";"SUPPORTED";NULL
"D";"34:3";"SUPPORTED";NULL
"E";"34:3";"SUPPORTED";NULL
"E";"85:22";"SUPPORTED";NULL
"D";"85:22";"SUPPORTED";NULL
"D";"54:32";"SUPPORTED";NULL
"E";"54:32";"SUPPORTED";NULL
"E";"25:4";"SUPPORTED";NULL
"D";"25:4";"SUPPORTED";NULL
"E";"2:151";"SUPPORTED";NULL
"D";"2:151";"SUPPORTED";NULL
"E";"41:37";"SUPPORTED";NULL
"D";"41:37";"SUPPORTED";NULL
"E";"7:101";"SUPPORTED";NULL
"D";"7:101";"SUPPORTED";NULL
"E";"17:89";"SUPPORTED";NULL
"D";"17:89";"SUPPORTED";NULL
"E";"38:1";"SUPPORTED";NULL
"D";"38:1";"NOT_SUPPORTED";"INSUFFICIENT_EVIDENCE"
"E";"7:94";"SUPPORTED";NULL
"D";"7:94";"SUPPORTED";NULL
"E";"23:44";"SUPPORTED";NULL
"D";"23:44";"SUPPORTED";NULL
"E";"36:14";"SUPPORTED";NULL
"D";"36:14";"SUPPORTED";NULL
"E";"57:26";"SUPPORTED";NULL
"D";"57:26";"SUPPORTED";NULL
"E";"40:70";"SUPPORTED";NULL
"D";"40:70";"SUPPORTED";NULL
"E";"7:62";"SUPPORTED";NULL
"D";"7:62";"SUPPORTED";NULL
"E";"33:39";"SUPPORTED";NULL
"D";"33:39";"SUPPORTED";NULL
"E";"48:9";"SUPPORTED";NULL
"D";"48:9";"SUPPORTED";NULL
"E";"28:56";"SUPPORTED";NULL
"D";"28:56";"SUPPORTED";NULL
"E";"49:3";"SUPPORTED";NULL
"D";"49:3";"SUPPORTED";NULL
"E";"22:67";"SUPPORTED";NULL
"D";"22:67";"SUPPORTED";NULL
"D";"14:23";"SUPPORTED";NULL
"E";"14:23";"SUPPORTED";NULL
"E";"28:52";"SUPPORTED";NULL
"D";"28:52";"SUPPORTED";NULL
"E";"21:94";"SUPPORTED";NULL
"D";"21:94";"SUPPORTED";NULL
"E";"45:21";"SUPPORTED";NULL
"D";"45:21";"SUPPORTED";NULL
"E";"20:73";"SUPPORTED";NULL
"D";"20:73";"SUPPORTED";NULL
"E";"3:142";"NOT_SUPPORTED";"AMBIGUOUS_GROUNDING"
"D";"3:142";"NOT_SUPPORTED";"AMBIGUOUS_GROUNDING"
"D";"20:72";"SUPPORTED";NULL
"E";"20:72";"SUPPORTED";NULL
"D";"37:102";"SUPPORTED";NULL
"E";"37:102";"SUPPORTED";NULL
"D";"37:110";"NOT_SUPPORTED";"INSUFFICIENT_EVIDENCE"
"E";"37:110";"NOT_SUPPORTED";"AMBIGUOUS_GROUNDING"
"D";"6:121";"SUPPORTED";NULL
"E";"6:121";"NOT_SUPPORTED";"AMBIGUOUS_GROUNDING"
"D";"42:36";"SUPPORTED";NULL
"E";"42:36";"SUPPORTED";NULL
"D";"32:18";"SUPPORTED";NULL
"E";"32:18";"SUPPORTED";NULL
"D";"7:163";"SUPPORTED";NULL
"E";"7:163";"SUPPORTED";NULL
"D";"32:20";"SUPPORTED";NULL
"E";"32:20";"SUPPORTED";NULL
"D";"47:28";"SUPPORTED";NULL
"E";"47:28";"SUPPORTED";NULL
"D";"50:3";"NOT_SUPPORTED";"AMBIGUOUS_GROUNDING"
"E";"50:3";"NOT_SUPPORTED";"AMBIGUOUS_GROUNDING"
"D";"31:7";"SUPPORTED";NULL
"E";"31:7";"SUPPORTED";NULL
"D";"11:91";"SUPPORTED";NULL
"E";"11:91";"SUPPORTED";NULL
"D";"20:62";"SUPPORTED";NULL
"E";"20:62";"SUPPORTED";NULL
"D";"23:25";"NOT_SUPPORTED";"INSUFFICIENT_EVIDENCE"
"E";"23:25";"SUPPORTED";NULL
"E";"3:91";"SUPPORTED";NULL
"D";"3:91";"SUPPORTED";NULL
"E";"3:28";"SUPPORTED";NULL
"D";"3:28";"SUPPORTED";NULL
"E";"4:144";"SUPPORTED";NULL
"D";"4:144";"SUPPORTED";NULL
"E";"4:139";"SUPPORTED";NULL
"D";"4:139";"SUPPORTED";NULL
"E";"33:1";"SUPPORTED";NULL
"D";"33:1";"SUPPORTED";NULL
"E";"4:88";"SUPPORTED";NULL
"D";"4:88";"SUPPORTED";NULL
"E";"33:24";"SUPPORTED";NULL
"D";"33:24";"SUPPORTED";NULL
"E";"2:17";"SUPPORTED";NULL
"D";"2:17";"SUPPORTED";NULL
"E";"3:113";"SUPPORTED";NULL
"D";"3:113";"SUPPORTED";NULL
"E";"5:84";"SUPPORTED";NULL
"D";"5:84";"SUPPORTED";NULL
"E";"2:135";"SUPPORTED";NULL
"D";"2:135";"SUPPORTED";NULL
"E";"2:105";"SUPPORTED";NULL
"D";"2:105";"SUPPORTED";NULL
"E";"4:51";"SUPPORTED";NULL
"D";"4:51";"SUPPORTED";NULL
"E";"3:120";"SUPPORTED";NULL
"D";"3:120";"SUPPORTED";NULL
"E";"16:125";"SUPPORTED";NULL
"D";"16:125";"SUPPORTED";NULL
"E";"9:19";"SUPPORTED";NULL
"D";"9:19";"SUPPORTED";NULL
"E";"4:68";"SUPPORTED";NULL
"D";"4:68";"SUPPORTED";NULL
"E";"14:12";"SUPPORTED";NULL
"D";"14:12";"SUPPORTED";NULL
"E";"8:66";"SUPPORTED";NULL
"D";"8:66";"SUPPORTED";NULL
"E";"32:24";"SUPPORTED";NULL
"D";"32:24";"SUPPORTED";NULL
"E";"16:96";"SUPPORTED";NULL
"D";"16:96";"SUPPORTED";NULL
"E";"33:35";"SUPPORTED";NULL
"D";"33:35";"SUPPORTED";NULL
"E";"2:157";"NOT_SUPPORTED";"AMBIGUOUS_GROUNDING"
"D";"2:157";"SUPPORTED";NULL
"E";"2:156";"SUPPORTED";NULL
"D";"2:156";"SUPPORTED";NULL
"E";"2:203";"SUPPORTED";NULL
"D";"2:203";"SUPPORTED";NULL
"E";"5:4";"SUPPORTED";NULL
"D";"5:4";"SUPPORTED";NULL
"D";"28:83";"SUPPORTED";NULL
"E";"28:83";"NOT_SUPPORTED";"THEME_INDUCED_SHIFT"
"E";"11:47";"SUPPORTED";NULL
"D";"11:47";"SUPPORTED";NULL
"E";"44:18";"SUPPORTED";NULL
"D";"44:18";"SUPPORTED";NULL
"E";"19:18";"SUPPORTED";NULL
"D";"19:18";"SUPPORTED";NULL
"E";"31:31";"SUPPORTED";NULL
"D";"31:31";"SUPPORTED";NULL
"E";"2:86";"SUPPORTED";NULL
"D";"2:86";"SUPPORTED";NULL
"E";"22:60";"SUPPORTED";NULL
"D";"22:60";"SUPPORTED";NULL
"E";"63:2";"NOT_SUPPORTED";"AMBIGUOUS_GROUNDING"
"D";"63:2";"SUPPORTED";NULL
"E";"63:4";"SUPPORTED";NULL
"D";"63:4";"SUPPORTED";NULL
"E";"28:55";"SUPPORTED";NULL
"D";"28:55";"SUPPORTED";NULL
"E";"13:18";"SUPPORTED";NULL
"D";"13:18";"SUPPORTED";NULL
"E";"11:51";"SUPPORTED";NULL
"D";"11:51";"NOT_SUPPORTED";"INSUFFICIENT_EVIDENCE"
"E";"25:57";"SUPPORTED";NULL
"D";"25:57";"SUPPORTED";NULL
"E";"2:262";"SUPPORTED";NULL
"D";"2:262";"SUPPORTED";NULL
"E";"68:2";"SUPPORTED";NULL
"D";"68:2";"NOT_SUPPORTED";"INSUFFICIENT_EVIDENCE"
"E";"7:151";"SUPPORTED";NULL
"D";"7:151";"SUPPORTED";NULL
"E";"21:83";"SUPPORTED";NULL
"D";"21:83";"SUPPORTED";NULL
"E";"61:11";"SUPPORTED";NULL
"D";"61:11";"SUPPORTED";NULL
"E";"71:4";"SUPPORTED";NULL
"D";"71:4";"SUPPORTED";NULL
"E";"11:52";"SUPPORTED";NULL
"D";"11:52";"SUPPORTED";NULL
"E";"4:111";"SUPPORTED";NULL
"D";"4:111";"SUPPORTED";NULL
"E";"9:112";"SUPPORTED";NULL
"D";"9:112";"SUPPORTED";NULL
"E";"15:5";"SUPPORTED";NULL
"D";"15:5";"SUPPORTED";NULL
"E";"33:16";"SUPPORTED";NULL
"D";"33:16";"SUPPORTED";NULL
"E";"34:14";"SUPPORTED";NULL
"D";"34:14";"NOT_SUPPORTED";"INSUFFICIENT_EVIDENCE"
"E";"6:98";"SUPPORTED";NULL
"D";"6:98";"SUPPORTED";NULL
"E";"40:17";"SUPPORTED";NULL
"D";"40:17";"SUPPORTED";NULL
"E";"85:7";"NOT_SUPPORTED";"AMBIGUOUS_GROUNDING"
"D";"85:7";"NOT_SUPPORTED";"INSUFFICIENT_EVIDENCE"
"E";"2:43";"SUPPORTED";NULL
"D";"2:43";"SUPPORTED";NULL
"E";"22:41";"SUPPORTED";NULL
"D";"22:41";"SUPPORTED";NULL
"E";"108:2";"SUPPORTED";NULL
"D";"108:2";"SUPPORTED";NULL
"E";"48:27";"SUPPORTED";NULL
"D";"48:27";"SUPPORTED";NULL
"E";"21:84";"SUPPORTED";NULL
"D";"21:84";"SUPPORTED";NULL
"E";"45:6";"SUPPORTED";NULL
"D";"45:6";"SUPPORTED";NULL
"E";"10:22";"SUPPORTED";NULL
"D";"10:22";"SUPPORTED";NULL
"E";"31:32";"SUPPORTED";NULL
"D";"31:32";"SUPPORTED";NULL
"E";"3:41";"SUPPORTED";NULL
"D";"3:41";"SUPPORTED";NULL
"E";"19:2";"SUPPORTED";NULL
"D";"19:2";"SUPPORTED";NULL
"E";"29:69";"SUPPORTED";NULL
"D";"29:69";"NOT_SUPPORTED";"INSUFFICIENT_EVIDENCE"
"E";"8:37";"SUPPORTED";NULL
"D";"8:37";"SUPPORTED";NULL
"E";"2:40";"SUPPORTED";NULL
"D";"2:40";"SUPPORTED";NULL
"E";"8:57";"NOT_SUPPORTED";"THEME_INDUCED_SHIFT"
"D";"8:57";"SUPPORTED";NULL
"E";"55:8";"SUPPORTED";NULL
"D";"55:8";"NOT_SUPPORTED";"INSUFFICIENT_EVIDENCE"
"E";"11:69";"SUPPORTED";NULL
"D";"11:69";"SUPPORTED";NULL
